product name,entries count,fiability rate
linux,3875,1.0
windows 10 version 1809,730,1.0
adobe experience manager,546,1.0
macos,446,1.0
android,345,1.0
chrome,319,1.0
snapdragon,298,1.0
firefox,243,1.0
samsung mobile devices,211,1.0
gitlab,197,1.0
harmonyos,190,1.0
ios and ipados,176,1.0
mattermost,143,1.0
mysql server,137,1.0
windows server 2019,127,1.0
junos os,119,1.0
openharmony,106,1.0
ftp server,106,1.0
adobe commerce,104,1.0
tvos,99,1.0
irfanview,89,1.0
autocad,84,1.0
teamcity,80,1.0
acrobat reader,76,1.0
complete web-based school management system,74,1.0
microsoft sql server 2017 (gdr),71,1.0
pdf reader,68,1.0
telecontrol server basic,68,1.0
wegia,67,1.0
indesign desktop,66,1.0
lunary-ai/lunary,65,1.0
microsoft edge (chromium-based),63,1.0
cms,63,1.0
power pdf,63,1.0
pdf-xchange editor,63,1.0
wavlink ac3000,62,1.0
aspect-enterprise,58,1.0
microsoft office 2019,57,1.0
windows server 2022,56,1.0
xwiki-platform,55,1.0
qts,54,1.0
animate,53,1.0
parisneo/lollms-webui,53,1.0
mintplex-labs/anything-llm,51,1.0
big-ip,50,1.0
visionos,49,1.0
cdg,49,1.0
avalanche,46,1.0
splunk enterprise,45,1.0
substance3d - painter,43,1.0
toshiba tec e-studio multi-function peripheral (mfp),43,1.0
maxtime,43,1.0
cups easy (purchase & inventory),42,1.0
security-advisories,42,1.0
powerscale onefs,41,1.0
illustrator,41,1.0
discourse,41,1.0
samsung notes,41,1.0
connect secure,39,1.0
hospital management system,39,1.0
checkmk,38,1.0
glpi,38,0.9736842105263158
cisco ios xe software,38,1.0
microsoft sharepoint enterprise server 2016,37,1.0
libfluid,37,1.0
junos os evolved,36,1.0
graphics ddk,35,1.0
endpoint manager,35,1.0
portal,35,1.0
gym management system,34,1.0
unity,33,1.0
epm,33,1.0
gstreamer,33,1.0
youtrack,32,1.0
cloud ngfw,32,1.0
tailoring management system,32,1.0
"complex maintenance, repair, and overhaul",32,1.0
assimp,32,1.0
envoy,31,1.0
whatsup gold,31,1.0
royal elementor addons and templates,31,1.0
dedecms,31,0.0
happy addons for elementor,30,1.0
gaizhenbiao/chuanhuchatgpt,30,1.0
blood bank management system,30,1.0
cisco identity services engine software,30,1.0
cloud portal,30,1.0
adaudit plus,29,1.0
coldfusion,29,1.0
substance3d - stager,29,1.0
freescout,29,1.0
zabbix,29,1.0
cisco ios xr software,29,1.0
librenms,28,1.0
premium addons for elementor,28,1.0
fortios,28,1.0
online shopping portal,28,1.0
enterprise server,28,1.0
windows 11 version 24h2,28,1.0
server,27,1.0
infosphere information server,27,1.0
dir-605l,27,1.0
brocade sannav,27,1.0
cisco firepower management center,27,1.0
teamcenter visualization v14.2,26,1.0
"essential addons for elementor – best elementor templates, widgets, kits & woocommerce builders",26,1.0
pan-os,26,1.0
freebsd,26,1.0
suricata,26,1.0
cisco adaptive security appliance (asa) software,26,1.0
rg-uac,25,1.0
college management system,25,1.0
directus,25,1.0
open-webui/open-webui,25,1.0
ac15,25,1.0
java se jdk and jre,25,1.0
typo3,25,1.0
job recruitment,25,1.0
adobe framemaker,24,1.0
patient record management system,24,1.0
microsoft 365 apps for enterprise,24,1.0
windows 11 version 22h2,24,1.0
red hat enterprise linux 10,24,1.0
sales and inventory system,24,1.0
"db2 for linux, unix and windows",23,1.0
adobe connect,23,1.0
php,23,1.0
online eyewear shop,23,1.0
arcgis server,23,1.0
tuleap,23,1.0
fortimanager,23,1.0
navisworks freedom,23,1.0
cacti,23,1.0
ac10u,23,1.0
windows server 2025,22,1.0
cpython,22,1.0
pharmacy management system,22,1.0
kortex lite advocate office management system,22,1.0
node,22,1.0
binary-husky/gpt_academic,22,1.0
simcenter femap,22,1.0
online-college-event-hall-reservation-system,22,1.0
office online server,22,1.0
smartfabric os10 software,21,1.0
bold page builder,21,1.0
best house rental management system,21,1.0
online examination system,21,1.0
ns-asg application security gateway,21,1.0
access rights manager,21,1.0
i,21,1.0
dns-120,21,1.0
joomla! cms,21,1.0
jd edwards enterpriseone tools,21,1.0
suitecrm,20,1.0
after effects,20,1.0
itop,20,1.0
dataease,20,1.0
firefox for ios,20,1.0
charx sec-3000,20,1.0
kibana,20,1.0
blood bank system,20,1.0
axis os,20,1.0
elementor addon elements,20,1.0
remote desktop manager,20,1.0
vyper,20,1.0
gradio-app/gradio,20,1.0
